,name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
63,2554,4,6,1980,1467,6.3,1400.0,1287,1576,2773,55,,17815212.0,1582,119.0
64,4539,4,6,1980,3296,7.3,2800.0,576,2601,746,55,,3910019.0,2281,103.0
65,1940,4,4,1980,886,6.3,2000.0,150,261,663,55,,7653061.0,494,93.0
66,3717,4,4,1980,907,8.1,12000.0,2856,4348,2708,46,900000.0,,1674,150.0
67,5838,4,4,1980,585,5.1,2000.0,2239,3778,2129,55,,10697276.0,463,100.0
68,4798,6,4,1980,2116,6.6,915.0,262,822,1766,55,,9870727.0,1812,86.0
69,2489,4,4,1980,1108,6.0,1500.0,1824,8,1312,55,,15934737.0,1425,98.0
70,7342,4,4,1980,1705,4.7,1800.0,934,1570,694,55,,14155617.0,731,103.0
71,881,1,2,1980,2452,7.3,2900.0,259,658,2370,55,,2013193.0,1480,75.0
72,2729,4,4,1980,3296,5.5,965.0,1833,2825,1771,55,,5215015.0,2281,97.0
73,4588,4,4,1980,1705,5.2,1100.0,52,420,1815,55,,4226370.0,127,106.0
74,2981,6,4,1980,1202,5.5,585.0,2560,1882,75,55,,2086905.0,2319,112.0
75,6149,1,1,1980,1816,5.8,1300.0,415,1312,749,55,6000000.0,11000000.0,2317,97.0
76,3272,4,4,1980,2059,6.3,1400.0,2863,836,2737,55,,6321392.0,2281,103.0
77,7373,6,4,1980,342,5.9,415.0,2144,1888,1875,55,5500000.0,4400000.0,2253,115.0
78,559,-1,6,1980,2621,7.4,1300.0,869,1368,601,54,,109749.0,867,95.0
79,7384,4,1,1980,2605,6.9,1000.0,1618,3490,2681,55,3000000.0,,2022,108.0
80,4239,6,6,1980,3402,4.0,546.0,1406,1432,2089,6,5100000.0,59167.0,455,94.0
81,7382,6,6,1980,1202,4.8,643.0,995,370,2553,55,,2128395.0,1643,96.0
82,3373,4,4,1980,2965,5.2,351.0,1134,2818,2446,55,,2806659.0,2218,97.0
83,6124,3,2,1980,2030,7.9,4800.0,2137,1598,1153,14,,167451.0,1497,83.0
84,4016,4,4,1980,3021,5.2,2100.0,981,2304,882,55,,14504277.0,2319,94.0
85,6854,6,4,1980,342,6.5,269.0,1932,1030,837,55,,804713.0,1260,105.0
86,3105,6,4,1980,946,5.8,1900.0,2945,1890,1894,14,,6950125.0,800,102.0
87,5927,6,4,1980,2372,4.3,740.0,485,752,469,55,,6621520.0,657,89.0
88,2217,6,4,1980,2116,6.8,599.0,1979,262,900,55,,2261507.0,486,96.0
89,7348,4,4,1980,585,6.5,211.0,1656,1655,2680,55,,1175855.0,1637,105.0
90,1998,6,4,1980,773,4.3,593.0,354,569,281,55,,15198912.0,995,97.0
91,3474,-1,0,1980,1656,6.7,230.0,2907,1672,1411,17,,,906,89.0
92,2768,4,0,1981,1696,8.4,905000.0,2660,2550,959,55,18000000.0,389925971.0,1812,115.0
93,867,6,5,1981,485,7.4,32000.0,1667,2550,2766,55,,24058838.0,2187,113.0
94,400,6,4,1981,413,7.5,97000.0,1412,2157,602,54,10000000.0,30669378.0,1873,97.0
